NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,35.0,26.0,41.0,67.0,87.0,130.0,65.0,51.0,64.0,30.0,62.0,62.0,21.0,66.0
Alaska,17.0,16.0,18.0,48.0,53.0,43.0,40.0,43.0,21.0,25.0,20.0,23.0,5.0,10.0
Arizona,161.0,122.0,163.0,212.0,235.0,301.0,284.0,240.0,208.0,92.0,232.0,226.0,130.0,125.0
Arkansas,28.0,49.0,45.0,58.0,56.0,35.0,43.0,42.0,49.0,40.0,72.0,93.0,46.0,47.0
California,647.0,605.0,626.0,758.0,729.0,869.0,816.0,580.0,598.0,331.0,515.0,627.0,337.0,366.0
Colorado,90.0,72.0,122.0,119.0,146.0,200.0,165.0,201.0,162.0,112.0,131.0,226.0,125.0,100.0
Connecticut,69.0,66.0,80.0,156.0,141.0,97.0,85.0,75.0,84.0,110.0,126.0,130.0,76.0,60.0
Delaware,9.0,14.0,15.0,32.0,12.0,37.0,30.0,20.0,22.0,8.0,16.0,27.0,9.0,20.0
Florida,254.0,221.0,339.0,459.0,543.0,644.0,475.0,365.0,335.0,228.0,414.0,405.0,221.0,288.0
Georgia,84.0,81.0,94.0,126.0,143.0,226.0,139.0,123.0,122.0,74.0,161.0,130.0,79.0,73.0
Hawaii,19.0,30.0,21.0,36.0,53.0,70.0,27.0,29.0,15.0,12.0,49.0,46.0,9.0,17.0
Idaho,24.0,32.0,44.0,57.0,103.0,89.0,98.0,75.0,50.0,46.0,106.0,128.0,56.0,45.0
Illinois,140.0,209.0,219.0,271.0,173.0,173.0,182.0,156.0,93.0,104.0,167.0,170.0,73.0,86.0
Indiana,77.0,98.0,96.0,146.0,146.0,157.0,82.0,86.0,57.0,92.0,184.0,196.0,88.0,83.0
Iowa,42.0,50.0,45.0,101.0,81.0,69.0,48.0,41.0,45.0,33.0,44.0,73.0,23.0,26.0
Kansas,44.0,51.0,43.0,60.0,55.0,70.0,47.0,49.0,51.0,31.0,42.0,72.0,24.0,28.0
Kentucky,61.0,53.0,85.0,65.0,98.0,92.0,72.0,54.0,66.0,47.0,75.0,89.0,45.0,51.0
Louisiana,56.0,29.0,33.0,48.0,51.0,111.0,61.0,48.0,33.0,26.0,46.0,43.0,21.0,29.0
Maine,42.0,29.0,42.0,103.0,82.0,52.0,58.0,70.0,36.0,27.0,56.0,76.0,32.0,37.0
Maryland,43.0,50.0,74.0,111.0,115.0,148.0,114.0,98.0,94.0,54.0,71.0,83.0,41.0,51.0
Massachusetts,79.0,107.0,106.0,162.0,196.0,201.0,147.0,116.0,100.0,70.0,117.0,140.0,70.0,88.0
Michigan,125.0,124.0,161.0,236.0,189.0,184.0,188.0,136.0,134.0,62.0,136.0,180.0,61.0,85.0
Minnesota,64.0,60.0,82.0,145.0,126.0,104.0,152.0,85.0,83.0,52.0,127.0,120.0,46.0,59.0
Mississippi,29.0,20.0,23.0,45.0,39.0,44.0,41.0,32.0,25.0,24.0,33.0,27.0,16.0,20.0
Missouri,91.0,118.0,140.0,177.0,112.0,146.0,101.0,112.0,112.0,62.0,126.0,131.0,78.0,79.0
