city_latitude,city_longitude,date,time
39.99382762603116,-82.98248417965169,2019-09-28,19:30:00
47.1435,-122.1678,2019-09-28,21:00:00
41.00299484536082,-80.33802886597938,2019-09-29,06:46:00
27.15972983870968,-80.21501854838709,2019-09-29,14:00:00
35.64812086956521,-105.9435104347826,2019-09-29,19:30:00
37.9467,-87.8578,2019-09-30,01:52:00
29.1135524173028,-82.15075330788804,2019-09-30,02:25:00
41.4568,-72.8245,2019-09-30,02:25:00
45.9811,-94.3639,2019-10-01,00:00:00
28.00877654729869,-82.4813833471331,2019-10-01,00:30:00
28.00877654729869,-82.4813833471331,2019-10-01,00:30:00
43.991,-124.093,2019-10-01,01:00:00
29.6321,-98.7542,2019-10-01,05:06:00
47.9519,-117.4735,2019-10-01,19:45:00
41.4259,-74.1617,2019-10-01,21:15:00
43.97630083333333,-75.90908883333333,2019-10-01,23:00:00
40.9953,-73.9503,2019-10-02,06:26:00
35.92761725146199,-86.84283245614036,2019-10-02,20:15:00
47.50417904191617,-122.61133592814372,2019-10-02,22:21:00
38.85273512974052,-77.31120419161677,2019-10-02,22:38:00
39.80464175369887,-86.13773687989556,2019-10-03,02:14:00
35.117007033898304,-106.62212966101694,2019-10-03,06:33:00
35.117007033898304,-106.62212966101694,2019-10-03,06:33:00
43.60549990147784,-116.2386509359606,2019-10-03,16:34:00
34.04364759232729,-118.29956048233046,2019-10-03,17:50:00
39.5034,-89.787,2019-10-03,20:00:00
38.3776,-86.35719999999999,2019-10-04,00:00:00
38.87714691753403,-104.76823722978384,2019-10-04,04:00:00
37.19854205607477,-77.43398878504672,2019-10-04,05:30:00
42.7905,-83.6127,2019-10-04,09:40:00
37.9653,-87.3902,2019-10-04,10:35:00
38.3776,-86.35719999999999,2019-10-04,13:00:00
39.3179,-84.2483,2019-10-04,19:00:00
29.782476507000737,-95.44062368459838,2019-10-04,19:28:00
36.7458324742268,-76.30021237113402,2019-10-04,20:12:00
47.82752692307692,-122.27472403846151,2019-10-04,20:35:00
41.71139999999999,-70.758,2019-10-04,20:35:00
39.0476,-76.4941,2019-10-04,10:15:00
41.4568,-72.8245,2019-10-04,20:38:00
41.4568,-72.8245,2019-10-04,20:39:00
39.74019963011889,-104.97711054161162,2019-10-04,20:45:00
37.9653,-87.3902,2019-10-04,20:55:00
33.1925,-104.3839,2019-10-04,21:00:00
41.2451,-75.5041,2019-10-04,22:00:00
41.2922,-72.4616,2019-10-04,22:30:00
43.97630083333333,-75.90908883333333,2019-10-04,23:00:00
44.84928011049723,-93.44251767955802,2019-10-04,23:30:00
44.75669375,-93.278128125,2019-10-04,23:45:00
30.395552631578948,-86.47022,2019-10-05,02:19:00
29.500535444579786,-81.20716077953715,2019-10-05,02:30:00
42.2334,-78.011,2019-10-05,02:50:00
47.16344823529412,-122.52340352941177,2019-10-05,03:33:00
38.8056,-91.1712,2019-10-05,03:55:00
35.64812086956521,-105.9435104347826,2019-10-05,04:25:00
29.28850203703704,-81.08506290123456,2019-10-05,06:23:00
32.25120880829015,-80.87165492227979,2019-10-05,06:30:00
42.98425130434782,-71.45713420289854,2019-10-05,07:20:00
41.1682,-81.2398,2019-10-05,08:00:00
38.85273512974052,-77.31120419161677,2019-10-05,08:00:00
40.03843105726872,-76.32034008810572,2019-10-05,10:00:00
41.0243,-77.3194,2019-10-05,10:30:00
