state,city_latitude,city_longitude,date,time
CA,32.8466,-116.977,2019-06-28,21:30:00
CA,37.65732343522562,-120.98715909752548,2019-07-05,04:00:00
WA,47.32691379310345,-122.61801896551724,2019-07-07,23:00:00
NJ,39.745,-75.0924,2019-07-11,08:46:00
MO,38.1051,-92.9188,2019-07-18,19:45:00
UT,40.60507291666666,-111.99772760416666,2019-07-20,19:10:00
CO,38.87714691753403,-104.76823722978384,2019-07-25,14:24:00
TX,33.0581,-97.5866,2019-07-27,00:00:00
TN,36.56671719298246,-87.39411859649124,2019-07-31,21:33:00
MA,42.2868,-70.8818,2019-08-09,19:15:00
WA,47.92492896341463,-122.2173375,2019-08-10,22:00:00
VA,38.85273512974052,-77.31120419161677,2019-08-13,00:40:00
OH,41.088669505783386,-81.52723162460568,2019-08-17,12:53:00
PA,40.94911904761905,-75.97065873015873,2019-08-18,15:00:00
OH,41.23445042372881,-80.77760211864407,2019-08-26,12:56:00
NY,42.3256,-77.65930000000002,2019-08-27,19:00:00
FL,28.08003514001807,-82.73475365853658,2019-08-27,20:30:00
FL,28.0303,-82.7816,2019-08-30,03:45:00
WY,43.1667,-111.02060000000002,2019-08-31,08:00:00
CA,34.261,-116.8131,2019-08-31,11:58:00
NC,35.4937,-77.9625,2019-09-02,15:00:00
NY,40.9058,-73.5561,2019-09-07,03:00:00
TX,28.6814,-99.172,2019-09-07,06:00:00
GA,33.920428571428566,-84.37795714285714,2019-09-11,19:45:00
VA,36.7458324742268,-76.30021237113402,2019-09-12,20:30:00
TN,35.949673017170895,-84.01413319705642,2019-09-12,22:32:00
AZ,32.69847852049911,-114.58248636363636,2019-09-13,22:00:00
OH,40.0992,-84.6298,2019-09-15,23:00:00
PA,40.3214,-80.0378,2019-09-14,21:57:00
ME,44.4359,-69.0144,2019-09-18,17:00:00
NM,33.52016370967742,-104.44226854838708,2019-09-19,10:30:00
MN,45.4535,-94.4376,2019-09-19,16:30:00
ND,46.80314615384615,-100.76674423076923,2019-09-20,01:00:00
CA,39.6631,-123.4981,2019-09-20,15:00:00
CA,33.86895981220657,-117.54791830985916,2019-09-20,20:43:00
NC,35.1623,-77.6882,2019-09-20,22:30:00
TN,36.14108444607484,-86.78634372707263,2019-09-21,13:30:00
NM,33.52016370967742,-104.44226854838708,2019-09-21,20:30:00
CA,33.84798899521531,-118.11807033492823,2019-09-21,20:45:00
TN,36.0869,-84.1897,2019-09-21,21:19:00
NV,39.2435,-114.8883,2019-09-22,23:00:00
IL,41.9778,-88.2018,2019-09-23,08:14:00
NJ,39.8296,-75.2282,2019-09-23,21:26:00
NY,40.75256378421113,-73.9844567179912,2019-09-24,10:00:00
NJ,39.8296,-75.2282,2019-09-24,10:35:00
NJ,39.9672,-74.9562,2019-09-24,18:20:00
CT,41.31511785714286,-72.92443422619047,2019-09-24,20:24:00
MA,42.5181,-70.899,2019-09-24,21:22:00
NM,32.8402,-104.4058,2019-09-24,23:00:00
NJ,39.9672,-74.9562,2019-09-25,03:31:00
MN,44.1113,-93.7136,2019-09-25,17:00:00
GA,33.39619591836735,-84.56968673469387,2019-09-27,05:10:00
VA,37.24419848484849,-80.42296060606061,2019-09-27,08:40:00
NM,35.117007033898304,-106.62212966101694,2019-09-28,06:15:00
UT,40.27745803278689,-111.66822295081968,2019-09-28,12:00:00
OH,39.99382762603116,-82.98248417965169,2019-09-28,19:30:00
WA,47.1435,-122.1678,2019-09-28,21:00:00
PA,41.00299484536082,-80.33802886597938,2019-09-29,06:46:00
FL,27.15972983870968,-80.21501854838709,2019-09-29,14:00:00
NM,35.64812086956521,-105.9435104347826,2019-09-29,19:30:00
IN,37.9467,-87.8578,2019-09-30,01:52:00
FL,29.1135524173028,-82.15075330788804,2019-09-30,02:25:00
CT,41.4568,-72.8245,2019-09-30,02:25:00
MN,45.9811,-94.3639,2019-10-01,00:00:00
FL,28.00877654729869,-82.4813833471331,2019-10-01,00:30:00
FL,28.00877654729869,-82.4813833471331,2019-10-01,00:30:00
OR,43.991,-124.093,2019-10-01,01:00:00
TX,29.6321,-98.7542,2019-10-01,05:06:00
WA,47.9519,-117.4735,2019-10-01,19:45:00
NY,41.4259,-74.1617,2019-10-01,21:15:00
NY,43.97630083333333,-75.90908883333333,2019-10-01,23:00:00
NJ,40.9953,-73.9503,2019-10-02,06:26:00
TN,35.92761725146199,-86.84283245614036,2019-10-02,20:15:00
WA,47.50417904191617,-122.61133592814372,2019-10-02,22:21:00
VA,38.85273512974052,-77.31120419161677,2019-10-02,22:38:00
IN,39.80464175369887,-86.13773687989556,2019-10-03,02:14:00
NM,35.117007033898304,-106.62212966101694,2019-10-03,06:33:00
NM,35.117007033898304,-106.62212966101694,2019-10-03,06:33:00
ID,43.60549990147784,-116.2386509359606,2019-10-03,16:34:00
CA,34.04364759232729,-118.29956048233046,2019-10-03,17:50:00
IL,39.5034,-89.787,2019-10-03,20:00:00
IN,38.3776,-86.35719999999999,2019-10-04,00:00:00
CO,38.87714691753403,-104.76823722978384,2019-10-04,04:00:00
VA,37.19854205607477,-77.43398878504672,2019-10-04,05:30:00
MI,42.7905,-83.6127,2019-10-04,09:40:00
IN,37.9653,-87.3902,2019-10-04,10:35:00
IN,38.3776,-86.35719999999999,2019-10-04,13:00:00
OH,39.3179,-84.2483,2019-10-04,19:00:00
TX,29.782476507000737,-95.44062368459838,2019-10-04,19:28:00
VA,36.7458324742268,-76.30021237113402,2019-10-04,20:12:00
WA,47.82752692307692,-122.27472403846151,2019-10-04,20:35:00
MA,41.71139999999999,-70.758,2019-10-04,20:35:00
MD,39.0476,-76.4941,2019-10-04,10:15:00
CT,41.4568,-72.8245,2019-10-04,20:38:00
CT,41.4568,-72.8245,2019-10-04,20:39:00
CO,39.74019963011889,-104.97711054161162,2019-10-04,20:45:00
IN,37.9653,-87.3902,2019-10-04,20:55:00
NM,33.1925,-104.3839,2019-10-04,21:00:00
PA,41.2451,-75.5041,2019-10-04,22:00:00
CT,41.2922,-72.4616,2019-10-04,22:30:00
NY,43.97630083333333,-75.90908883333333,2019-10-04,23:00:00
MN,44.84928011049723,-93.44251767955802,2019-10-04,23:30:00
MN,44.75669375,-93.278128125,2019-10-04,23:45:00
FL,30.395552631578948,-86.47022,2019-10-05,02:19:00
FL,29.500535444579786,-81.20716077953715,2019-10-05,02:30:00
NY,42.2334,-78.011,2019-10-05,02:50:00
WA,47.16344823529412,-122.52340352941177,2019-10-05,03:33:00
MO,38.8056,-91.1712,2019-10-05,03:55:00
NM,35.64812086956521,-105.9435104347826,2019-10-05,04:25:00
FL,29.28850203703704,-81.08506290123456,2019-10-05,06:23:00
SC,32.25120880829015,-80.87165492227979,2019-10-05,06:30:00
NH,42.98425130434782,-71.45713420289854,2019-10-05,07:20:00
OH,41.1682,-81.2398,2019-10-05,08:00:00
VA,38.85273512974052,-77.31120419161677,2019-10-05,08:00:00
PA,40.03843105726872,-76.32034008810572,2019-10-05,10:00:00
PA,41.0243,-77.3194,2019-10-05,10:30:00
NM,35.64812086956521,-105.9435104347826,2019-10-05,11:10:00
PA,40.3434125,-76.4159375,2019-10-05,13:30:00
PA,40.0146,-75.7136,2019-10-05,15:00:00
PA,40.175,-76.1817,2019-10-05,15:00:00
NC,35.98736391221891,-78.88665757247358,2019-10-05,15:30:00
PA,40.2062,-75.53,2019-10-05,16:00:00
IN,39.7275,-85.3261,2019-10-05,17:00:00
NJ,39.7856,-75.2562,2019-10-05,17:50:00
NJ,39.9834,-74.8354,2019-10-05,18:00:00
PA,40.0816,-75.2546,2019-10-05,18:00:00
AZ,31.7216,-110.0584,2019-10-05,18:15:00
NJ,39.88504732142858,-74.90667767857143,2019-10-05,18:30:00
PA,40.1922,-75.4339,2019-10-05,18:30:00
NM,35.117007033898304,-106.62212966101694,2019-10-05,18:35:00
PA,40.1794,-75.1107,2019-10-05,18:40:00
ID,43.60549990147784,-116.2386509359606,2019-10-05,18:48:00
OH,40.9501,-83.9441,2019-10-05,19:00:00
KY,38.6699,-85.1679,2019-10-05,19:00:00
PA,40.1262,-75.5268,2019-10-05,19:01:00
NC,35.91898520900322,-79.0316729903537,2019-10-05,19:40:00
CT,41.7066,-72.5745,2019-10-05,20:00:00
NC,36.0774,-79.088,2019-10-05,20:00:00
PA,40.5932,-75.6575,2019-10-05,20:00:00
MI,42.19073818181818,-85.60685818181818,2019-10-05,20:00:00
WI,44.9622625823452,-89.66703102766797,2019-10-05,20:17:00
ID,43.63091346704871,-116.41447908309456,2019-10-05,20:30:00
OH,40.4836,-81.4387,2019-10-05,20:51:00
CA,37.79847503136762,-122.2316391468005,2019-10-05,23:30:00
IL,37.9776,-88.3191,2019-10-06,00:20:00
MO,37.1561,-90.70390000000002,2019-10-06,01:30:00
OH,41.2482,-80.5795,2019-10-06,02:00:00
CO,39.86982857142857,-104.97587142857144,2019-10-06,02:00:00
AL,30.5012,-87.8795,2019-10-06,03:00:00
FL,28.9938,-82.4241,2019-10-06,03:30:00
NY,40.9355,-73.7603,2019-10-06,04:05:00
OH,39.4757,-82.7212,2019-10-06,04:47:00
WA,48.0706,-122.17120403225806,2019-10-06,05:07:00
RI,41.8953,-71.3978,2019-10-06,05:08:00
WA,46.59516351809955,-120.56786843891403,2019-10-06,05:15:00
OH,39.4757,-82.7212,2019-10-06,05:25:00
FL,28.51220019430052,-81.37852415803108,2019-10-06,06:50:00
VA,37.52289036144578,-77.47437610441767,2019-10-06,06:50:00
MO,38.76970019249278,-90.5528532242541,2019-10-06,07:38:00
PA,40.6217,-79.9431,2019-10-06,08:00:00
ID,43.60549990147784,-116.2386509359606,2019-10-06,14:48:00
TX,29.6321,-98.7542,2019-10-06,16:44:00
CA,34.10828510638297,-118.15679361702126,2019-10-06,17:00:00
MI,42.5062236587511,-83.40663007915566,2019-10-06,19:30:00
KS,37.6996695505618,-97.3295995505618,2019-10-06,20:00:00
WA,47.60567891170866,-122.33084005928434,2019-10-06,20:10:00
ID,43.7157,-116.6104,2019-10-06,20:17:00
TX,32.71174893813481,-97.12059116651278,2019-10-06,21:35:00
MO,37.19130910746812,-93.28695318761385,2019-10-06,22:00:00
FL,26.528228880866425,-80.11420577617329,2019-10-06,23:00:00
OR,46.1558,-123.7978,2019-10-07,00:10:00
MA,42.1591,-70.8163,2019-10-07,00:05:00
OH,41.04130131578948,-83.64612763157895,2019-10-07,05:20:00
NY,40.75256378421113,-73.9844567179912,2019-10-07,06:00:00
OH,39.99382762603116,-82.98248417965169,2019-10-07,07:00:00
CA,33.9776,-117.7375,2019-10-07,12:45:00
SC,34.1108,-81.195,2019-10-07,13:45:00
FL,26.7107,-80.2324,2019-10-07,15:01:00
NM,32.41061971830986,-104.24341830985917,2019-10-07,16:45:00
WI,42.72913228043143,-87.84147919876735,2019-10-07,17:31:00
CA,37.43676741573034,-121.89565842696628,2019-10-07,17:40:00
VA,38.85273512974052,-77.31120419161677,2019-10-07,17:51:00
OH,39.7948,-82.71360000000001,2019-10-07,18:27:00
FL,30.24020303030303,-85.84677575757576,2019-10-07,19:15:00
AZ,33.315533774834435,-111.75197284768213,2019-10-07,19:15:00
IN,40.1194,-87.2563,2019-10-07,20:00:00
CA,36.33741606022585,-119.29513381430364,2019-10-07,20:00:00
TX,32.95397047517352,-96.71030389749065,2019-10-07,20:15:00
CA,34.405375,-119.5186375,2019-10-07,20:25:00
IA,41.70569999999999,-93.4431,2019-10-07,21:10:00
NV,36.14597551358516,-115.18457488402916,2019-10-07,21:35:00
FL,30.24020303030303,-85.84677575757576,2019-10-07,22:00:00
LA,31.8959,-93.0936,2019-10-07,22:00:00
CA,33.83592379227053,-116.53104963768116,2019-10-07,22:10:00
CA,37.24496252766711,-121.81799366976536,2019-10-07,22:15:00
CA,37.79847503136762,-122.2316391468005,2019-10-08,00:00:00
AZ,31.5084,-111.0757,2019-10-08,02:00:00
OH,39.99382762603116,-82.98248417965169,2019-10-08,03:00:00
OH,40.0268,-81.5773,2019-10-08,03:31:00
NC,35.98025306122449,-77.81220816326531,2019-10-08,03:35:00
CT,41.2205482051282,-73.05817897435898,2019-10-08,04:00:00
AR,35.4846,-93.4989,2019-10-08,06:15:00
IN,39.97191776913101,-86.12413605706874,2019-10-08,07:00:00
OH,41.27831044176707,-84.35724016064256,2019-10-08,07:00:00
TX,33.21286376451078,-97.12269253731344,2019-10-08,09:00:00
CA,37.24496252766711,-121.81799366976536,2019-10-08,10:00:00
KS,39.0618,-98.5331,2019-10-08,17:55:00
WI,45.1347,-88.1401,2019-10-08,18:32:00
OH,39.7948,-82.71360000000001,2019-10-08,18:40:00
OH,39.7948,-82.71360000000001,2019-10-08,18:40:00
CA,33.6719,-116.3032,2019-10-08,19:20:00
FL,30.18953734177215,-85.64826772151899,2019-10-08,19:50:00
ME,44.0515,-70.7294,2019-10-08,20:00:00
PA,40.0983,-75.1032,2019-10-08,20:05:00
NJ,40.3029,-74.1828,2019-10-08,20:07:00
NJ,40.3029,-74.1828,2019-10-08,20:08:00
NJ,40.3029,-74.1828,2019-10-08,20:08:00
NV,36.14597551358516,-115.18457488402916,2019-10-08,20:15:00
CO,39.74019963011889,-104.97711054161162,2019-10-08,20:30:00
TX,32.85073798342542,-97.13806546961328,2019-10-08,20:42:00
MA,42.1034,-70.6967,2019-10-08,21:00:00
CA,35.1344,-118.448,2019-10-08,21:00:00
KY,38.22153870454997,-85.66253357838266,2019-10-08,21:30:00
SC,33.71258733572282,-78.93877275985663,2019-10-08,23:00:00
WA,48.0872,-123.1146,2019-10-08,23:45:00
WA,45.7907,-122.5288,2019-10-09,00:00:00
NY,43.4574,-76.2472,2019-10-09,00:30:00
IL,42.121580434782615,-87.8396847826087,2019-10-09,04:22:00
MO,37.3333,-94.2957,2019-10-09,06:00:00
NM,35.117007033898304,-106.62212966101694,2019-10-09,06:45:00
PA,41.4121,-80.3746,2019-10-09,06:55:00
PA,41.4121,-80.3746,2019-10-09,06:55:00
OH,40.0337,-83.1319,2019-10-09,07:00:00
OH,39.5985,-82.9259,2019-10-09,07:02:00
MI,42.294,-83.3146,2019-10-09,07:05:00
IN,41.677620478723405,-86.25259255319149,2019-10-09,07:15:00
AZ,31.9455,-110.9973,2019-10-09,09:15:00
SC,34.84092861083744,-82.3644801182266,2019-10-09,10:43:00
